site_slug,year,children_count,teachers_count,notes
bulunga,2022,31,,Source: Enrollment_Counts.xlsx · Bulunga
bulunga,2023,41,,Source: Enrollment_Counts.xlsx · Bulunga
bulunga,2024,25,,Source: Enrollment_Counts.xlsx · Bulunga
bulunga,2025,36,,Source: Enrollment_Counts.xlsx · Bulunga
bulunga,2026,27,2,Source: ICBCSites_6.js · current pre-school enrollment 2026
engcamini,2022,97,,Source: Enrollment_Counts.xlsx · Engcamini
engcamini,2023,34,,Source: Enrollment_Counts.xlsx · Engcamini
engcamini,2024,18,,Source: Enrollment_Counts.xlsx · Engcamini
engcamini,2025,35,,Source: Enrollment_Counts.xlsx · Engcamini
engcamini,2026,32,1,Source: ICBCSites_6.js · current pre-school enrollment 2026
gebeni,2022,96,,Source: Enrollment_Counts.xlsx · Gebeni
gebeni,2023,32,,Source: Enrollment_Counts.xlsx · Gebeni
gebeni,2024,31,,Source: Enrollment_Counts.xlsx · Gebeni
gebeni,2025,15,,Source: Enrollment_Counts.xlsx · Gebeni
gebeni,2026,20,1,Source: ICBCSites_6.js · current pre-school enrollment 2026
gundvwini,2022,0,,Source: Enrollment_Counts.xlsx · Gundvwini
gundvwini,2023,0,,Source: Enrollment_Counts.xlsx · Gundvwini
gundvwini,2024,25,,Source: Enrollment_Counts.xlsx · Gundvwini
gundvwini,2025,36,,Source: Enrollment_Counts.xlsx · Gundvwini
gundvwini,2026,31,2,Source: ICBCSites_6.js · current pre-school enrollment 2026
hawane,2022,87,,Source: Enrollment_Counts.xlsx · Hawane
hawane,2023,31,,Source: Enrollment_Counts.xlsx · Hawane
hawane,2024,25,,Source: Enrollment_Counts.xlsx · Hawane
hawane,2025,26,,Source: Enrollment_Counts.xlsx · Hawane
hawane,2026,40,2,Source: ICBCSites_6.js · current pre-school enrollment 2026
jubukweni,2022,0,,Source: Enrollment_Counts.xlsx · Jubukweni
jubukweni,2023,38,,Source: Enrollment_Counts.xlsx · Jubukweni
jubukweni,2024,5,,Source: Enrollment_Counts.xlsx · Jubukweni
jubukweni,2025,26,,Source: Enrollment_Counts.xlsx · Jubukweni
jubukweni,2026,25,1,Source: ICBCSites_6.js · current pre-school enrollment 2026
kaliba,2022,18,,Source: Enrollment_Counts.xlsx · Ka-Liba
kaliba,2023,29,,Source: Enrollment_Counts.xlsx · Ka-Liba
kaliba,2024,36,,Source: Enrollment_Counts.xlsx · Ka-Liba
kaliba,2025,31,,Source: Enrollment_Counts.xlsx · Ka-Liba
kaliba,2026,36,2,Source: ICBCSites_6.js · current pre-school enrollment 2026
kancesi,2022,53,,Source: Enrollment_Counts.xlsx · Ka-Ncesi
kancesi,2023,26,,Source: Enrollment_Counts.xlsx · Ka-Ncesi
kancesi,2024,38,,Source: Enrollment_Counts.xlsx · Ka-Ncesi
kancesi,2025,30,,Source: Enrollment_Counts.xlsx · Ka-Ncesi
kancesi,2026,38,2,Source: ICBCSites_6.js · current pre-school enrollment 2026
lavumisa,2022,103,,Source: Enrollment_Counts.xlsx · Lavumisa
lavumisa,2023,21,,Source: Enrollment_Counts.xlsx · Lavumisa
lavumisa,2024,16,,Source: Enrollment_Counts.xlsx · Lavumisa
