site_slug,month,month_label,rainfall_mm,temperature_c
bulunga,1,Jan,113.4,25.4
bulunga,2,Feb,159.1,25.2
bulunga,3,Mar,84.9,24.7
bulunga,4,Apr,58.3,22.5
bulunga,5,May,32.3,20.0
bulunga,6,Jun,12.1,17.6
bulunga,7,Jul,12.8,17.4
bulunga,8,Aug,17.6,19.2
bulunga,9,Sep,33.5,21.6
bulunga,10,Oct,59.6,22.5
bulunga,11,Nov,71.3,23.9
bulunga,12,Dec,114.4,25.2
engcamini,1,Jan,88.7,25.0
engcamini,2,Feb,113.4,24.9
engcamini,3,Mar,75.7,24.3
engcamini,4,Apr,43.2,22.3
engcamini,5,May,24.2,19.9
engcamini,6,Jun,9.2,17.6
engcamini,7,Jul,9.5,17.6
engcamini,8,Aug,13.0,19.3
engcamini,9,Sep,23.5,21.6
engcamini,10,Oct,53.5,22.3
engcamini,11,Nov,59.5,23.7
engcamini,12,Dec,83.9,25.0
gebeni,1,Jan,131.3,23.4
gebeni,2,Feb,172.5,23.4
gebeni,3,Mar,100.9,22.7
gebeni,4,Apr,72.6,20.5
gebeni,5,May,29.7,18.2
gebeni,6,Jun,13.7,16.1
gebeni,7,Jul,15.1,16.1
gebeni,8,Aug,21.7,17.8
gebeni,9,Sep,42.9,19.9
gebeni,10,Oct,73.4,20.8
gebeni,11,Nov,91.7,22.1
gebeni,12,Dec,138.4,23.4
hawane,1,Jan,143.4,18.8
hawane,2,Feb,142.0,18.9
hawane,3,Mar,91.5,18.1
hawane,4,Apr,60.1,16.1
hawane,5,May,30.4,14.0
hawane,6,Jun,8.0,11.7
hawane,7,Jul,10.9,11.8
hawane,8,Aug,13.5,13.8
hawane,9,Sep,28.7,16.1
hawane,10,Oct,64.3,16.8
hawane,11,Nov,91.8,18.0
hawane,12,Dec,118.9,19.1
jubukweni,1,Jan,163.2,19.2
jubukweni,2,Feb,172.6,19.3
jubukweni,3,Mar,110.4,18.6
jubukweni,4,Apr,70.3,16.6
jubukweni,5,May,37.3,14.6
jubukweni,6,Jun,10.7,12.5
jubukweni,7,Jul,15.2,12.6
jubukweni,8,Aug,19.6,14.5
jubukweni,9,Sep,40.3,16.6
jubukweni,10,Oct,75.1,17.2
jubukweni,11,Nov,96.5,18.4
jubukweni,12,Dec,136.1,19.5
kaliba,1,Jan,107.7,21.8
kaliba,2,Feb,147.6,21.7
kaliba,3,Mar,81.1,21.0
kaliba,4,Apr,63.9,18.9
kaliba,5,May,34.1,16.7
kaliba,6,Jun,11.6,14.6
kaliba,7,Jul,15.0,14.6
kaliba,8,Aug,23.3,16.1
kaliba,9,Sep,39.5,18.2
kaliba,10,Oct,69.3,18.8
kaliba,11,Nov,82.2,20.2
kaliba,12,Dec,125.7,21.5
kancesi,1,Jan,156.3,19.9
kancesi,2,Feb,160.9,20.0
kancesi,3,Mar,106.7,19.2
kancesi,4,Apr,68.0,17.2
kancesi,5,May,33.8,14.9
kancesi,6,Jun,9.4,12.7
kancesi,7,Jul,14.1,12.8
kancesi,8,Aug,19.0,14.8
kancesi,9,Sep,38.2,16.9
kancesi,10,Oct,70.3,17.8
kancesi,11,Nov,90.0,19.0
kancesi,12,Dec,138.2,20.2
lavumisa,1,Jan,82.7,25.2
lavumisa,2,Feb,115.3,25.0
lavumisa,3,Mar,66.5,24.4
