church,date,total_attendance,men,women,youth,children,salvations,baptisms,home_visits,meals_food_packs,preschool_attendance
Bulunga,2021-11-07,41,0,2,6,33,0,0,0,0,0
Bulunga,2021-11-14,4,1,1,2,0,0,0,0,0,0
Bulunga,2021-11-21,14,1,1,2,10,0,0,0,0,0
Bulunga,2021-11-28,16,1,2,6,7,0,0,0,12,0
Bulunga,2021-12-05,18,1,2,5,10,5,0,2,0,0
Bulunga,2021-12-12,23,1,1,11,10,10,0,0,15,0
Bulunga,2021-12-19,38,1,3,9,25,12,0,0,5,0
Bulunga,2021-12-26,21,1,1,9,10,12,0,0,15,0
Bulunga,2022-01-01,47,3,4,11,29,1,0,4,21,0
Bulunga,2022-01-02,14,1,1,3,9,1,0,0,20,0
Bulunga,2022-01-08,28,1,3,4,20,0,0,0,5,0
Bulunga,2022-01-09,13,1,1,4,7,0,0,0,3,0
Bulunga,2022-01-15,26,1,2,7,16,0,0,5,3,0
Bulunga,2022-01-16,21,2,2,5,12,0,0,0,14,0
Bulunga,2022-01-22,32,1,2,16,13,11,0,7,7,0
Bulunga,2022-01-23,19,1,2,5,11,2,0,0,9,0
Bulunga,2022-01-29,22,1,1,7,13,0,0,0,224,0
Bulunga,2022-01-30,13,1,2,5,5,4,0,0,4,0
Bulunga,2022-02-05,22,1,2,7,12,0,0,6,416,39
Bulunga,2022-02-06,33,1,4,6,22,0,0,0,0,0
Bulunga,2022-02-12,23,1,2,7,13,0,0,5,160,0
Bulunga,2022-02-13,22,1,3,5,13,0,0,0,4,21
Bulunga,2022-02-19,16,1,2,4,9,0,0,0,192,39
Bulunga,2022-02-20,32,2,4,5,21,0,0,0,0,6
Bulunga,2022-02-26,24,1,1,9,13,0,0,4,744,39
Bulunga,2022-02-27,28,2,3,9,14,0,0,0,11,0
Bulunga,2022-03-05,29,1,4,13,11,0,0,3,448,39
Bulunga,2022-03-06,25,1,2,5,17,0,0,0,13,22
Bulunga,2022-03-12,26,2,3,8,13,3,0,1,15,39
Bulunga,2022-03-13,33,1,6,8,18,0,0,0,0,22
Bulunga,2022-03-19,40,1,2,14,23,0,0,2,144,34
Bulunga,2022-03-20,28,1,3,4,20,0,0,0,5,22
Bulunga,2022-03-26,53,2,4,12,35,6,0,5,216,35
Bulunga,2022-03-27,22,1,2,6,13,3,0,0,13,22
Bulunga,2022-04-02,33,1,3,9,20,0,0,2,72,36
Bulunga,2022-04-03,23,1,2,11,9,7,0,0,15,22
Bulunga,2022-04-10,26,1,3,7,15,0,0,0,2,22
Bulunga,2022-04-16,23,3,2,4,14,0,2,4,0,0
Bulunga,2022-04-23,38,2,3,9,24,5,0,5,216,0
Bulunga,2022-04-24,33,1,4,6,22,0,0,0,12,22
Bulunga,2022-04-30,34,2,3,9,20,0,0,3,180,0
Bulunga,2022-05-01,16,1,1,3,11,0,0,0,14,0
Bulunga,2022-05-08,44,1,2,11,30,0,0,0,0,0
Bulunga,2022-05-15,33,1,3,12,17,0,0,0,1,0
Bulunga,2022-05-22,26,1,2,10,13,0,0,0,3,0
Bulunga,2022-05-29,38,1,0,13,24,4,0,0,9,0
Bulunga,2022-06-05,23,1,3,9,10,0,0,0,12,0
Bulunga,2022-06-12,41,1,1,10,29,10,0,0,7,0
Bulunga,2022-06-19,30,1,2,11,16,0,0,0,10,0
Bulunga,2022-07-02,33,1,2,6,24,0,0,2,108,38
Bulunga,2022-07-03,30,1,1,14,14,0,0,0,15,0
Bulunga,2022-07-09,32,2,5,8,17,0,0,3,144,0
Bulunga,2022-07-10,41,1,4,12,24,18,0,0,15,0
